example_id,pattern_type,sample_exercise,set_count,rest_between_sets_sec,weight_tier,phase_1_type,phase_1_duration_sec,phase_1_reps,phase_1_rep_kind,phase_1_position_cue,phase_2_type,phase_2_duration_sec,phase_2_reps,phase_2_rep_kind,phase_2_position_cue,notes,summary
1,standard_reps,Bench Press,1,90,heavy,reps,,5,fixed,,,,,,,,1 sets × 5 reps
2,standard_reps,Bench Press,2,90,heavy,reps,,8,fixed,,,,,,,,2 sets × 8 reps
3,standard_reps,Bench Press,3,90,heavy,reps,,10,fixed,,,,,,,,3 sets × 10 reps
4,standard_reps,Bench Press,4,90,medium,reps,,12,fixed,,,,,,,,4 sets × 12 reps
5,standard_reps,Bench Press,5,90,medium,reps,,15,fixed,,,,,,,,5 sets × 15 reps
6,standard_reps,Bench Press,6,90,medium,reps,,20,fixed,,,,,,,,6 sets × 20 reps
7,standard_reps,Bench Press,7,90,medium,reps,,25,fixed,,,,,,,,7 sets × 25 reps
8,standard_reps,Bench Press,8,90,medium,reps,,30,fixed,,,,,,,,8 sets × 30 reps
9,standard_reps,Bench Press,9,90,medium,reps,,12,fixed,,,,,,,,9 sets × 12 reps
10,standard_reps,Bench Press,10,90,medium,reps,,10,fixed,,,,,,,,10 sets × 10 reps
11,hold_burnout,Leg Press Machine,4,90,medium,hold,20,,,bottom of lift,burnout,,,burnout,,Log highest rep count achieved,4 sets: 20s hold (bottom of lift) → burnout reps
12,hold_burnout,Leg Press Machine,3,90,medium,hold,30,,,top squeeze,burnout,,,burnout,,Log highest rep count achieved,3 sets: 30s hold (top squeeze) → burnout reps
13,hold_burnout,Leg Press Machine,4,90,medium,hold,15,,,bottom of squat,burnout,,,burnout,,Log highest rep count achieved,4 sets: 15s hold (bottom of squat) → burnout reps
14,hold_burnout,Leg Press Machine,5,90,medium,hold,20,,,top squeeze,burnout,,,burnout,,Log highest rep count achieved,5 sets: 20s hold (top squeeze) → burnout reps
15,hold_burnout,Leg Press Machine,3,90,medium,hold,45,,,mid range,burnout,,,burnout,,Log highest rep count achieved,3 sets: 45s hold (mid range) → burnout reps
16,hold_burnout,Leg Press Machine,4,90,medium,hold,10,,,bottom of lift,burnout,,,burnout,,Log highest rep count achieved,4 sets: 10s hold (bottom of lift) → burnout reps
17,hold_burnout,Leg Press Machine,2,90,medium,hold,30,,,top squeeze,burnout,,,burnout,,Log highest rep count achieved,2 sets: 30s hold (top squeeze) → burnout reps
18,hold_burnout,Leg Press Machine,6,90,medium,hold,20,,,bottom of lunge,burnout,,,burnout,,Log highest rep count achieved,6 sets: 20s hold (bottom of lunge) → burnout reps
19,hold_burnout,Leg Press Machine,4,90,medium,hold,25,,,top squeeze,burnout,,,burnout,,Log highest rep count achieved,4 sets: 25s hold (top squeeze) → burnout reps
20,hold_burnout,Leg Press Machine,3,90,medium,hold,20,,,bottom of lift,burnout,,,burnout,,Log highest rep count achieved,3 sets: 20s hold (bottom of lift) → burnout reps
21,hold_fixed_reps,Standing Calf Raises,4,90,medium,hold,30,,,top squeeze,reps,,15,fixed,,Reps immediately after hold,4 sets: 30s hold (top squeeze) → 15 reps
22,hold_fixed_reps,Standing Calf Raises,3,90,medium,hold,20,,,bottom of lift,reps,,10,fixed,,Reps immediately after hold,3 sets: 20s hold (bottom of lift) → 10 reps
23,hold_fixed_reps,Standing Calf Raises,4,90,medium,hold,30,,,top squeeze,reps,,5,fixed,,Reps immediately after hold,4 sets: 30s hold (top squeeze) → 5 reps
24,hold_fixed_reps,Standing Calf Raises,5,90,medium,hold,15,,,peak contraction,reps,,12,fixed,,Reps immediately after hold,5 sets: 15s hold (peak contraction) → 12 reps
25,hold_fixed_reps,Standing Calf Raises,3,90,medium,hold,45,,,top squeeze,reps,,8,fixed,,Reps immediately after hold,3 sets: 45s hold (top squeeze) → 8 reps
26,hold_fixed_reps,Standing Calf Raises,4,90,medium,hold,20,,,bottom of lift,reps,,30,fixed,,Reps immediately after hold,4 sets: 20s hold (bottom of lift) → 30 reps
27,hold_fixed_reps,Standing Calf Raises,2,90,medium,hold,30,,,top squeeze,reps,,6,fixed,,Reps immediately after hold,2 sets: 30s hold (top squeeze) → 6 reps
28,hold_fixed_reps,Standing Calf Raises,6,90,medium,hold,15,,,bottom of lift,reps,,25,fixed,,Reps immediately after hold,6 sets: 15s hold (bottom of lift) → 25 reps
29,hold_fixed_reps,Standing Calf Raises,4,90,medium,hold,25,,,top squeeze,reps,,5,fixed,,Reps immediately after hold,4 sets: 25s hold (top squeeze) → 5 reps
30,hold_fixed_reps,Standing Calf Raises,3,90,medium,hold,20,,,bottom of lift,reps,,20,fixed,,Reps immediately after hold,3 sets: 20s hold (bottom of lift) → 20 reps
31,timed_rounds,Jump Squats,8,20,light,timed,20,,,,,,,,,Work interval; rest = rest_between_sets_sec,8 rounds × 20s on
32,timed_rounds,Jump Squats,10,30,light,timed,30,,,,,,,,,Work interval; rest = rest_between_sets_sec,10 rounds × 30s on
33,timed_rounds,Jump Squats,6,40,light,timed,40,,,,,,,,,Work interval; rest = rest_between_sets_sec,6 rounds × 40s on
34,timed_rounds,Jump Squats,12,15,light,timed,15,,,,,,,,,Work interval; rest = rest_between_sets_sec,12 rounds × 15s on
35,timed_rounds,Jump Squats,5,45,light,timed,45,,,,,,,,,Work interval; rest = rest_between_sets_sec,5 rounds × 45s on
36,timed_rounds,Jump Squats,8,20,light,timed,20,,,,,,,,,Work interval; rest = rest_between_sets_sec,8 rounds × 20s on
37,timed_rounds,Jump Squats,4,60,light,timed,60,,,,,,,,,Work interval; rest = rest_between_sets_sec,4 rounds × 60s on
38,timed_rounds,Jump Squats,10,20,light,timed,20,,,,,,,,,Work interval; rest = rest_between_sets_sec,10 rounds × 20s on
39,timed_rounds,Jump Squats,7,30,light,timed,30,,,,,,,,,Work interval; rest = rest_between_sets_sec,7 rounds × 30s on
40,timed_rounds,Jump Squats,9,25,light,timed,25,,,,,,,,,Work interval; rest = rest_between_sets_sec,9 rounds × 25s on
41,burnout_only,Close Burnout Push-ups,1,60,medium,burnout,,,burnout,,,,,,,Log highest rep count per set,1 sets to burnout
